순위,제작단계,엔진,파일명,설명,추천 검색어,규격,완료
1,1차 필수,E3·E5,sfx_pan_sizzle_loop,김치볶기와 김치전 굽기 공통 팬 지글거림,food sizzling in frying pan loop,3~6초 무봉제 루프,미완료
2,1차 필수,E6,sfx_deep_fry_loop,새우와 감자가 기름에서 튀겨지는 강한 지속음,deep fryer bubbling loop,3~6초 무봉제 루프,미완료
3,1차 필수,E3,sfx_griddle_sizzle_loop,볶음우동 철판의 넓고 강한 지글거림,teppanyaki griddle sizzling loop,3~6초 무봉제 루프,미완료
4,1차 필수,E4,sfx_gas_flame_loop,어묵탕과 떡볶이 냄비 아래의 가스불,gas stove flame loop,3~6초 무봉제 루프,미완료
5,1차 필수,E4,sfx_clear_simmer_loop,어묵탕처럼 맑은 국물이 잔잔하게 끓는 소리,soup simmering pot loop,3~6초 무봉제 루프,미완료
6,1차 필수,E4,sfx_thick_boil_loop,떡볶이처럼 걸쭉한 소스가 큰 기포로 끓는 소리,thick sauce bubbling loop,3~6초 무봉제 루프,미완료
7,1차 필수,E1,sfx_knife_swing,모든 칼질에서 칼이 빠르게 내려오는 공기 가르기,kitchen knife chop whoosh,0.08~0.2초,미완료
8,1차 필수,E1,sfx_cut_crisp,무·양배추·대파처럼 아삭한 채소 절단,crispy vegetable chopping sound,0.1~0.25초,미완료
9,1차 필수,E1,sfx_cut_soft,두부·어묵처럼 부드럽고 촉촉한 재료 절단,soft food cutting sound,0.1~0.25초,미완료
10,1차 필수,E1,sfx_cut_wet,김치처럼 젖은 채소를 자르는 소리,wet vegetable chop sound,0.1~0.3초,미완료
11,1차 필수,E1,sfx_cut_meat,닭고기를 묵직하게 절단하는 소리,raw chicken chopping sound,0.15~0.3초,미완료
12,1차 필수,E3,sfx_metal_scrape,철판 뒤집개로 철판과 우동면을 미는 소리,metal spatula griddle scrape,0.15~0.4초,미완료
13,1차 필수,E3,sfx_wood_stir,나무 주걱으로 김치를 팬에서 미는 소리,wooden spatula stirring pan sound,0.15~0.35초,미완료
14,1차 필수,E2,sfx_mandoline_slide,채칼 위로 양배추·당근·감자를 빠르게 미는 소리,mandoline slicer vegetable sound,0.1~0.25초,미완료
15,1차 필수,E6,sfx_fry_basket_lift,금속 바스켓을 기름 위로 들어 올리는 소리,deep fryer basket lift sound,0.3~0.6초,미완료
16,1차 필수,E6,sfx_fry_basket_shake,바스켓을 탁 움직여 기름을 터는 소리,fryer basket shake metal sound,0.12~0.3초,미완료
17,1차 필수,E5,sfx_pancake_flip,김치전이 떠올라 뒤집힌 뒤 팬에 착지하는 전체 동작,pancake flip pan landing sound,0.4~0.8초,미완료
18,1차 필수,E5,sfx_charcoal_grill_loop,닭꼬치 아래 숯불과 떨어지는 기름의 지속음,charcoal grill sizzling loop,3~6초 무봉제 루프,미완료
19,1차 필수,E9,sfx_whisk_mix_loop,거품기로 걸쭉한 김치전 반죽을 계속 젓는 소리,whisking thick batter loop,2~4초 무봉제 루프,미완료
20,1차 필수,공통,sfx_input_wrong,잘못된 방향·순서·타이밍을 알리는 낮고 짧은 둔탁음,soft game wrong input sound,0.15~0.3초,미완료
21,2차 디테일,E2,sfx_dry_shake,감자 전분 봉투와 새우 밀가루·빵가루를 흔드는 마른 소리,plastic bag powder shake sound,0.15~0.35초,미완료
22,2차 디테일,E2,sfx_wet_coat,새우를 계란물 안에서 굴리는 끈적한 출렁임,egg wash slosh sound,0.15~0.35초,미완료
